run,size,ratio,sampling_time_s,total_time_s
1,1000,1.1985889162320043,117.82508069998585,118.03481778799323
2,1000,1.301136864583651,112.61283943196759,112.67249709798489
3,1000,1.2640814739535586,115.5954719010042,115.79892567795468
4,1000,1.1868457565434267,112.57674908300396,112.61896583001362
5,1000,1.2207359618306888,106.33472076797625,106.36926353396848
6,1000,1.1670392863191084,104.7563159649726,104.80966080300277
7,1000,1.39362684208012,103.04502766695805,103.08941225300077
8,1000,1.1810631703819994,112.56944293703418,112.66971685201861
9,1000,1.3046300761628526,153.82669183897087,154.12498799100285
10,1000,1.2675481001538733,117.6600249359617,117.81520861998433
11,1000,1.2366540784890085,118.35093876504106,118.61511047300883
12,1000,1.4188769376653751,112.57973320101155,112.61548901099013
13,1000,1.3698258825818996,202.33310296700802,202.47504249797203
14,1000,1.2259560132040137,116.97818098799326,117.07894476101501
15,1000,1.3150085749105294,102.9293578779907,102.97184377297526
16,1000,1.4747021347793803,105.7378760940046,105.75802151695825
17,1000,1.4012669491065852,107.13166206196183,107.27120824699523
18,1000,1.2557992483803992,99.91803897096543,100.01219523797045
19,1000,1.3544469553867757,119.47665212501306,119.57913973700488
20,1000,1.2157474084163093,107.74755759903928,107.93263714102795
21,1000,1.3043978093986894,105.75420684099663,105.83179713401478
1,3000,1.2056652771548901,741.2954486060189,743.3632916260394
2,3000,1.193502311074473,714.947953677969,715.5456372349872
3,3000,1.4270702378789857,735.7937773069716,736.226293743006
4,3000,1.233879502517244,764.0118999180268,766.074235232023
5,3000,1.2764635750534685,797.7097667059861,798.9252158009913
6,3000,1.1894950083994085,784.4884261309635,786.5833441989962
7,3000,1.6548974885555767,728.0301579110092,728.1628277350101
8,3000,1.126822582741195,894.4722718190169,896.2043674660381
9,3000,1.4688194483528063,826.6255593499518,826.9734134629834
10,3000,1.2384265404285848,833.3548982520006,833.8169733129907
11,3000,1.518462345015041,782.6924929959932,783.413423157006
12,3000,1.4575153469651991,842.6766907970305,843.227584836015
13,3000,1.1426200359561036,869.2655931369518,869.8784455099958
14,3000,1.419724303745845,856.1530928779976,856.5029819229967
15,3000,1.1372390399946382,901.8848498080042,904.0377424809849
