run,size,ratio,sampling_time_s,total_time_s
1,10000,1.2328760320488505,2575.0183525549946,2578.171773559996
2,10000,1.0529077765629484,2855.7517188830534,2871.264062164002
3,10000,1.461692132071642,2780.0088037680252,2785.438319123001
4,10000,2.107523912958224,2855.03755771101,2856.6243847109727
5,10000,1.803221048146394,3005.231026355992,3014.9085824670037
6,10000,1.5886965041119774,2806.5316163179814,2807.5500213589985
7,10000,1.1786499867735392,2520.7706175000058,2521.9947100380086
8,10000,1.1777942336499103,2642.0363437330234,2643.5512862810283
9,10000,1.1498978308954282,2257.807095170021,2262.8581015929813
10,10000,17.568166655805097,2405.3032025309512,2405.6034942049882
11,10000,1.5136022714984791,2845.8277896919753,2850.73977582698
12,10000,1.5941171925985929,2860.712031328003,2861.4372399559943
13,10000,1.2357706879871295,2691.348886209016,2694.589123076992
14,10000,1.1264914060973805,2779.170184860006,2781.6092531169998
15,10000,1.2438910054418848,2708.002230726008,2712.162649756996
16,10000,1.513756575803942,2733.024084064993,2734.302930252976
17,10000,1.8951053284055337,2635.786924268992,2636.1096028619795
18,10000,1.176645520777792,2851.8136236009886,2855.630977694993
19,10000,1.5257148822888322,2511.110251701961,2511.8295800419874
20,10000,1.4517571080272844,3077.6927769629983,3079.541702702001
21,10000,1.2799740033750695,2821.6549889739836,2825.1253215109464
1,12000,1.1879946323547748,3671.68895787996,3678.36855619197
2,12000,1.2741535747488542,3499.4992278430145,3512.011083661986
3,12000,1.245759828093672,3700.153717783978,3701.2160824219463
4,12000,1.2021207036915251,3675.616185007035,3679.3022521980456
5,12000,1.160690050715111,3682.440574494016,3701.223421117
6,12000,1.52279570362953,3613.410026989004,3616.3192780819954
7,12000,1.1851051805862265,3637.73952962202,3641.2691186839947
8,12000,1.276714902002689,3471.366265204968,3472.710292545962
9,12000,1.1879348653219663,3670.917339409003,3674.532409904001
10,12000,1.1789372061683354,3675.952753184014,3682.674493305036
11,12000,1.196891192077158,3630.3952559090103,3646.5926446059602
12,12000,1.4299886714347063,3605.964879170002,3607.577197892999
13,12000,1.5153979429552353,3643.927182483021,3646.3596757440246
14,12000,1.250008350579667,3666.9641100559966,3670.6262140310137
15,12000,1.0660014019016328,3635.314662112971,3644.0225755749852
16,12000,2.3178927400180998,3840.566398214025,3841.429409083037
17,12000,1.3046092747080422,3759.2232957789674,3763.357045860961
18,12000,1.1681291096648174,3727.715789164009,3739.913966475986
19,12000,2.2034199371824434,3744.0618749199784,3745.299540774955
20,12000,1.2195765197504844,3358.072673927003,3360.8157052259776
21,12000,1.5647301701672145,3669.361801905965,3671.5015345349675
1,14000,1.3536298839388994,4523.34207045997,4529.669608781987
2,14000,1.4447670549831455,4622.5391750650015,4631.532301510975
3,14000,1.2791303670409049,4610.723490799952,4623.0046493189875
4,14000,1.2362837868250447,4833.893334068998,4846.1780376560055
5,14000,1.5873538267880933,4648.8774741769885,4666.201712500013
6,14000,1.15893620597219,4608.557022797002,4617.459920000983
7,14000,1.064705332755304,4687.350819999003,4689.9544614490005
8,14000,1.2106894511605246,4503.916669672006,4513.3977614180185
9,14000,2.064258456265631,4747.423045324977,4749.204755895946
10,14000,1.1518492957512991,4375.26696331799,4390.322231001977
11,14000,1.1862456949849993,4479.682028940995,4484.288770832005
12,14000,1.2190837686999538,4564.87006325298,4567.028053517977
13,14000,1.2139104713067188,4739.552723050991,4745.3214056349825
14,14000,1.2660314220049669,4777.566889795999,4820.278228542011
15,14000,1.4455353376528064,4851.70352908998,4854.546534653986
16,14000,1.1444928616033803,4756.906221084995,4765.394423048012
17,14000,1.5469630304114699,4843.1940371500095,4845.867729297024
18,14000,1.4943554992548247,4697.22462023102,4700.254951998009
19,14000,1.2102620814357004,4638.826593103993,4676.1705127329915
20,14000,1.269036621830421,4524.233606983966,4536.9200119169545
21,14000,1.2240323263332238,5573.784667339991,5579.098507579009
1,16000,1.5603946669717617,6598.460570850992,6602.4422874369775
2,16000,1.5563255949239552,6360.782308041002,6367.487193345965
3,16000,1.2448819549879353,6756.748126238002,6761.041549691989
4,16000,1.2365001373202453,6328.799215524981,6340.845329967968
5,16000,1.2071576203306378,6413.925464372034,6425.877594519989
6,16000,1.4278387237397625,6293.019882961002,6299.767952190014
7,16000,1.471265582632183,6452.336634158972,6457.786345832981
8,16000,1.200837568174241,6176.807907707,6187.729573574965
9,16000,1.5583304464345291,6208.782921724021,6211.388775470026
10,16000,1.4885362598468348,6395.938624283008,6399.054186893976
11,16000,1.0433772524947489,6628.925669392978,6638.759576812969
12,16000,1.4924244243356504,6497.746486462012,6538.163799196016
13,16000,1.3629622378430903,6580.898871944984,6583.796905268973
14,16000,1.234309153339373,6647.49224444502,6657.617600016994
15,16000,1.5149475142286006,6779.777745164989,6783.301998506999
16,16000,1.2422717219665362,6404.978550547035,6417.089936737029
17,16000,1.1682097590383556,6422.337584659981,6432.828945747984
18,16000,1.353666616011562,6515.47964398301,6517.473813303979
19,16000,1.1619236922862524,6482.244349668967,6494.475744026015
20,16000,1.2090708256743263,6751.414548730012,6759.477612614981
21,16000,2.435161944859868,6744.954141682945,6747.263681039971
1,18000,1.0875937177615427,7190.29331625998,7208.429387766984
2,18000,1.5501723726169423,7715.925833709014,7721.898454028007
3,18000,1.8355097976492638,7662.321032456006,7671.839493295003
4,18000,1.5386994869725694,7533.3693261900335,7547.231062498991
5,18000,1.1499426940297708,7311.909743563039,7366.692558106035
6,18000,1.376897910063075,7391.299737404974,7404.274855370983
7,18000,1.276328807706651,7663.425050002988,7722.944488712004
8,18000,1.1855288913350737,7934.176803221984,7950.578510592983
9,18000,1.4485236282121787,7791.228061278001,7799.3048253420275
10,18000,1.292987710359371,7678.279467858025,7691.632536699006
11,18000,1.0258428540299396,7360.044307422009,7382.110748821986
12,18000,1.5200800813028212,7561.159630829003,7563.675594473025
13,18000,1.1852841158282608,7841.762197625008,7894.3800550430315
14,18000,1.2279074771629435,7669.082540577045,7684.50226128503
15,18000,1.528559476225146,7112.561656871985,7118.609354842978
16,18000,1.2052941126491414,7639.3189408510225,7649.522440636996
17,18000,1.1237552164636682,7556.997386549017,7628.229946864012
18,18000,1.4894936242317227,7375.606532711012,7378.655221670982
19,18000,2.250342912604254,7185.395416490035,7187.879010588047
20,18000,1.445301116808604,7384.65477138001,7390.671115991019
21,18000,1.510405350469141,7423.539282458019,7429.635059918044
1,20000,1.088302225836461,8795.511904137966,8859.25168055098
2,20000,1.4103104870562098,8835.908009378007,8846.936415310018
