run,size,ratio,sampling_time_s,total_time_s
1,500,1.376520691788247,3.4661546999996062,3.64467280000099
2,500,2.017829323056323,3.461789700002555,3.635637700001098
3,500,1.3190408255713788,3.457476099996711,3.626841699999204
4,500,1.5582147503148323,3.4591146999991906,3.757029100001091
5,500,2.262121738463298,3.4841840000008233,3.7895988000018406
6,500,1.921549587851128,3.4595583000009356,3.688777100000152
7,500,1.6025053433685308,3.45198739999978,3.712271000000328
8,500,1.5325294756862635,3.4802281000011135,3.6858845999995538
9,500,1.4171253556053978,3.451839800000016,3.6113869000000705
10,500,1.8771245319514183,3.4577446000002965,3.7302548000006936
11,500,1.5582012126872125,3.4642437000002246,3.6536016000027303
12,500,1.8029252393694681,3.450572800000373,3.624123800000234
13,500,2.1362440434844197,3.462177100002009,3.6429924000003666
14,500,1.411666426559888,3.4662725999987742,3.672049999997398
15,500,1.3402533040125566,3.512333700000454,3.7065724000021874
16,500,1.75953027827898,3.467411699999502,3.655235000001994
17,500,1.7845553257457618,3.465169099999912,3.761545199999091
18,500,1.9707264963639946,3.469807400000718,3.69672360000186
19,500,1.4088480473078269,3.5058563000020513,3.644478500002151
20,500,1.291975902874665,3.499922899998637,3.754003999998531
21,500,1.582968007149976,3.467842499998369,3.707070099997509
22,500,1.4341550571696746,3.4572584999987157,3.6638232999976026
23,500,1.9097846254833053,3.4636547999980394,3.692553599998064
24,500,1.4578928735182723,3.478570800001762,3.6358132000023033
25,500,1.6052182668380315,3.4675941999994393,3.6225248999980977
26,500,1.4491265089720538,3.4810915000016394,3.717405499999586
27,500,1.505962762397778,3.4451762000026065,3.7176916999997047
28,500,1.5806848987887754,3.470582199999626,3.740526300000056
29,500,1.452476460959578,3.4575593000008666,3.592447399998491
30,500,1.4214704564570766,3.472781100001157,3.7216685000021243
31,500,1.5403689589657097,3.4564799999971,3.6475558999991335
32,500,1.6196220555373109,3.48480009999912,3.67522050000116
33,500,1.4519093538549444,3.454176400002325,3.6325175000019954
34,500,1.365035712988466,3.467752600001404,3.6575382000009995
35,500,1.6967182437710207,3.4559420000005048,3.6341298000006645
36,500,1.6428273303700467,3.4493776000017533,3.7719681000016863
37,500,1.510408979440502,3.471151400000963,3.681457499998942
38,500,1.6290008216504142,3.4581295999996655,3.6185080999966885
39,500,2.025952799050693,3.4473448999997345,3.73136820000218
40,500,1.6062016895584013,3.466339099999459,3.7533180999998876
41,500,1.9345348769399258,3.4781911999998556,3.731126899998344
42,500,1.7329685022043122,3.541513299998769,3.747612199997093
43,500,1.4778564391855447,3.4643025000004855,3.6864439000019047
44,500,1.6228468898327446,3.4731623999978183,3.687112999999954
45,500,2.0341499445873037,3.4610135999973863,3.7433621999989555
46,500,2.48289090845535,3.4535808000000543,3.73280639999939
47,500,1.9797996234094606,3.47293290000016,3.7347530000006373
48,500,2.5741353904427955,3.463913000003231,3.618896700001642
49,500,1.6749119620726922,3.4708223000016005,3.688705900000059
50,500,1.6947572672908302,3.452145399998699,3.615248899997823
1,1000,1.1720672054853112,3.4654435999982525,3.889661099998193
2,1000,1.2504970480154987,3.485855300001276,3.868810800002393
3,1000,1.4488587745972472,3.4563801999975112,3.7906072000005224
4,1000,1.2100530365658477,3.498723799999425,3.949726599999849
5,1000,1.3269557556065097,3.470868500000506,4.042268900000636
6,1000,1.1699229413837695,3.456837200003065,3.775604000002204
7,1000,1.3187605418267916,3.4555029000002833,3.817930699999124
8,1000,1.2827204557194676,3.461770499998238,3.803737899997941
9,1000,1.1204368031442014,3.4592579000018304,3.7781696999991254
10,1000,1.1726447564281794,3.4543908999985433,3.7930321999992884
11,1000,1.110047309761211,3.4626003000012133,3.847947700000077
12,1000,1.3705403151245603,3.4583109999985027,3.703465700000379
13,1000,1.1322160018415788,3.4609539000011864,3.722906300001341
14,1000,1.1927759182710889,3.4890159999995376,3.86714320000101
15,1000,1.1999017798126335,3.457432399998652,3.8479999999981374
16,1000,1.1562883066865774,3.4503246000022045,3.846905099999276
17,1000,1.1462024628600476,3.5226501999968605,3.9418429999968794
18,1000,1.3381089931200785,3.4529362000030233,3.7861604000027
19,1000,1.2572976589247549,3.465238499997213,3.837881199997355
20,1000,1.2891684625561206,3.483212300001469,3.932921899999201
21,1000,1.2154643506527305,3.481861600001139,3.9787364000003436
22,1000,1.278693071404539,3.492724800002179,3.9560783000015363
23,1000,1.4438243645822881,3.4567128000016965,3.8305503000010503
24,1000,1.1879636609063868,3.448661099999299,3.893063700001221
25,1000,1.195937654998984,3.4580320999994,3.7998947000014596
26,1000,1.1556680251452525,3.473968700000114,3.8893925999982457
27,1000,1.1764970217540454,3.4527638999970804,3.7670770999975502
28,1000,1.2423695657077332,3.4580204999983835,3.828568199998699
29,1000,1.1774359897680746,3.4596316999995906,3.867346799997904
30,1000,1.2043685348057769,3.4690413999996963,3.827675699998508
31,1000,1.1822354657150016,3.4726432999996177,3.884694299998955
32,1000,1.3186029067221925,3.4694087999996555,3.8630746000017098
33,1000,1.2499869693734296,3.4995136999968963,4.025470799999312
34,1000,1.1756080551993668,3.479069499997422,3.8360470999978133
35,1000,1.1524620464696742,3.4490211000011186,3.8641638000008243
36,1000,1.331363848570378,3.456134200001543,3.779962100001285
37,1000,1.2128555556481064,3.4649218000013207,3.8058734000005643
38,1000,1.179646854513146,3.490463300000556,3.869095899997774
39,1000,1.3510524012644398,3.456607600001007,3.7774153999998816
40,1000,1.2046652260620165,3.454485599999316,3.742280300000857
41,1000,1.2167354343231835,3.4560676000000967,3.830926400001772
42,1000,1.2192365138887047,3.4982755000019097,3.932737000002817
43,1000,1.1097919041589268,3.4582832000014605,3.9553624000000127
44,1000,1.2603537478140907,3.4539638000023842,3.8433327000020654
45,1000,1.2235785881568408,3.452293999998801,4.01935599999706
46,1000,1.2131420423504302,3.462756900000386,3.8874039000002085
47,1000,1.216753840638655,3.457855799999379,3.8102049000008265
48,1000,1.173095630070561,3.4521721999990405,3.9860464000012144
49,1000,1.112432242879595,3.4580485000005865,3.920978100002685
50,1000,1.2047760490885677,3.45794720000049,3.8542086999987077
1,1500,1.0860699961501377,3.444872400003078,3.863788200000272
2,1500,1.1454708369406754,3.449436800001422,3.938190900000336
3,1500,1.1308110808682117,3.4476361999986693,3.8008908000010706
4,1500,1.120038740356615,3.433604000001651,4.005860799999937
5,1500,1.1207615970392664,3.453087499998219,3.90687319999779
6,1500,1.0814342702598283,3.4421187000007194,3.87830010000107
7,1500,1.1230357922492384,3.443301600000268,4.107432400000107
8,1500,1.1354467467027693,3.430350599999656,3.9204374000000826
9,1500,1.10455731688758,3.4344429000011587,4.032654600003298
10,1500,1.149148513488881,3.4466639999991457,3.962828800002171
11,1500,1.1097174557255212,3.4507979000009072,3.960029099998792
12,1500,1.1387295899102008,3.4715737999977136,3.9332259999973758
13,1500,1.2000996638700303,3.4507778999977745,3.938708999998198
14,1500,1.0675905075285712,3.4454836000004434,4.071768499998143
15,1500,1.1017385515312565,3.4390433999978995,4.069475299998885
16,1500,1.1306038556206697,3.445251500001177,3.916621300002589
17,1500,1.099186008001075,3.4593600000007427,3.990083600001526
18,1500,1.1236049669797081,3.456817999998748,4.130901000000449
19,1500,1.1020610914428373,3.4433435999999347,4.014318399997137
20,1500,1.0874880641665745,3.446539299999131,3.9286919999976817
21,1500,1.0973878089133076,3.4443308000008983,4.001600499999768
22,1500,1.1075753954293344,3.434724800001277,3.987379599999258
23,1500,1.0727534427658656,3.5245727000001352,4.263046800002485
24,1500,1.1163157798687777,3.4377104000013787,4.259230200001184
25,1500,1.0893007063723112,3.434499200000573,3.8404692000003706
26,1500,1.1622288885560597,3.42288809999809,3.9614691999995557
27,1500,1.1497729966604626,3.4397202000000107,3.8597854999970878
28,1500,1.1239316247880238,3.4449139999996987,3.9124426000016683
29,1500,1.0993572971190229,3.44154410000192,4.0220788000006
30,1500,1.1321372747896608,3.4412393999991764,3.773929399998451
31,1500,1.0550122156922181,3.4387322000002314,4.015966399998433
32,1500,1.1262663376630548,3.4369456999993417,3.844473100001778
33,1500,1.1213620880996502,3.437724600000365,3.9547177000022202
34,1500,1.185915023552379,3.4336521999975957,4.078920399999333
35,1500,1.1523384828020293,3.446236699997826,3.8783729999995558
36,1500,1.0942494531968356,3.4486084999989544,3.9369071000000986
37,1500,1.1336635365994023,3.4423309000012523,3.888562299998739
38,1500,1.1316263991158244,3.437114799999108,3.954209899999114
39,1500,1.0786371155398486,3.441966300000786,3.950704200000473
40,1500,1.125320349837593,3.4438130000016827,3.9611221000013757
41,1500,1.1554340552118718,3.4454742000016267,3.9710135000023
42,1500,1.1251090273777804,3.4357912999985274,4.076261499998509
43,1500,1.090967765865837,3.5069093000020075,4.016229500000918
44,1500,1.1295194755861855,3.5375391999987187,4.173836999998457
45,1500,1.1647095660783515,3.4474706999972113,4.00600889999987
46,1500,1.1038364536215806,3.4364156000010553,3.9746844000001147
47,1500,1.1135008853761588,3.484205299999303,4.275296799998614
48,1500,1.0914137198983942,3.4444269000014174,4.069519600001513
49,1500,1.137468314318586,3.432594499998231,4.049750599999243
50,1500,1.0711366920602567,3.454283300001407,3.872893899999326
1,2000,1.0962754126699354,3.5526944999983243,4.14227259999825
2,2000,1.0746457556630502,3.497274199999083,4.106440399998974
3,2000,1.0853280887777295,3.4669784999969124,4.074487499998213
4,2000,1.0483750449949754,3.4593529000012495,4.041434800001298
5,2000,1.094115474499851,3.459808499999781,4.21528920000128
6,2000,1.1532083178286947,3.470585499999288,4.355863900000259
7,2000,1.1416912045620067,3.4468116000025475,4.126795700001821
8,2000,1.0860138245561703,3.46925199999896,4.297742999999173
9,2000,1.075634115267563,3.4589898999984143,3.9915822000002663
10,2000,1.1153964591035677,3.4710351999965496,4.2543643999997585
11,2000,1.0624047005443242,3.46283559999938,4.131848299999547
12,2000,1.0696599089935104,3.4679180000021006,3.971951600000466
13,2000,1.071135830162145,3.472941100000753,4.091824800001632
14,2000,1.0919624855428887,3.468870500000776,3.964362099999562
15,2000,1.068235389605906,3.4440536000001885,4.00657560000036
16,2000,1.0725792491868698,3.4684090000009746,4.262186399999337
17,2000,1.0775053518924709,3.4653762000016286,4.050299400001677
18,2000,1.0862590026221,3.4624555999980657,4.355895199998486
19,2000,1.0585997402855059,3.4650860000001558,4.000131799999508
20,2000,1.1347565634891266,3.470482400000037,4.0620349000018905
21,2000,1.0526299637219831,3.46058819999962,4.144235200001276
22,2000,1.0903978205303457,3.452246599998034,3.9913851999990584
23,2000,1.0496687289874829,3.4882971000006364,4.109325700002955
24,2000,1.0798835221455974,3.4663828999982798,4.2295109999977285
25,2000,1.127655045173966,3.462775200001488,4.35553230000005
26,2000,1.0558792513972333,3.4639136000005237,4.130685000000085
27,2000,1.0523764295332179,3.4565461999991385,4.162225500000204
28,2000,1.1013911273449262,3.468239000001631,4.110748300001433
29,2000,1.0479286480808283,3.478746199998568,4.211375700000644
30,2000,1.110301258187778,3.456851500002813,4.097687800000131
31,2000,1.0765586335182022,3.459791299999779,4.2409339000005275
32,2000,1.0833893060726894,3.46521120000034,4.212433900000178
33,2000,1.0625681589544547,3.4744387999999162,4.0302332999999635
34,2000,1.043164045096766,3.4602049000022816,4.081868600002053
35,2000,1.0629577367513838,3.4654872000028263,4.264581400002498
36,2000,1.0723924083216443,3.4615469999989728,4.080664599998272
37,2000,1.0656996715582814,3.4590822999998636,4.063788999999815
38,2000,1.0893248559954445,3.478719999999157,4.196064199997636
39,2000,1.0789511691807814,3.4913415999981225,4.271660899998096
40,2000,1.0760434125787537,3.4654361000029894,4.174038900000596
41,2000,1.069559709665348,3.477071099998284,4.052615499997046
42,2000,1.1069323599754441,3.471495899997535,4.145006499998999
43,2000,1.0741338942833414,3.465970199998992,4.107527299998765
44,2000,1.0884547348280835,3.4669135000003735,4.032819899999595
45,2000,1.0757537030770636,3.470405899999605,4.197616699999344
46,2000,1.0827087212057884,3.477395699999761,4.200641600000381
47,2000,1.075372259702186,3.467962599999737,4.08699020000131
48,2000,1.0767089837479726,3.517407799998182,4.207561100000021
49,2000,1.063869756797401,3.4558985000003304,4.062392299998464
50,2000,1.0679940975802107,3.4682518999979948,4.223813299999165
1,2500,1.0684809847022463,3.464448700000503,4.2738852000002225
2,2500,1.0761854089021137,3.4562784999980067,4.639301200000773
3,2500,1.0612466341771203,3.450490600000194,4.461012600000686
4,2500,1.0398290449239251,3.446034900000086,4.232563900000969
5,2500,1.0570544671057032,3.4575590999993437,4.377592500000901
6,2500,1.0434328871390628,3.4568221000008634,4.313821399999142
7,2500,1.0709892308526845,3.454163799997332,4.600063199999568
8,2500,1.0552788508175845,3.478573000000324,4.370138599999336
9,2500,1.0728910758904144,3.45651700000235,4.445754000000306
10,2500,1.0466687894070836,3.4503586999999243,4.383601100002124
11,2500,1.0642267917963184,3.4600061000019195,4.320521000001463
12,2500,1.0819053435994828,3.449060200000531,4.234297700000752
13,2500,1.0394506756401019,3.4485434999987774,4.152827900001284
14,2500,1.0409224616973407,3.4549994000008155,4.3696373000020685
15,2500,1.0577950891041392,3.4541919999974198,4.48159300000043
16,2500,1.0488141154669137,3.441319300000032,4.312502700002369
17,2500,1.0492117695164438,3.443105199999991,4.2051258999999845
18,2500,1.0409845299287188,3.4762408999995387,4.110769499999151
19,2500,1.0602641191906679,3.4722500999996555,4.197062499999447
20,2500,1.0572301148710377,3.4443882999985362,4.383564899999328
21,2500,1.090033302280599,3.464516799998819,4.2386235000012675
22,2500,1.0867475062017997,3.463365400002658,4.369870599999558
23,2500,1.0689380450497814,3.4649827999965055,4.303586999998515
24,2500,1.0458933496593994,3.4411609999988286,4.169361500000377
25,2500,1.061296429308647,3.4629615000012564,4.313397900001291
26,2500,1.0502469177372975,3.440573800002312,4.445612499999697
27,2500,1.0436926113383835,3.4654740000005404,4.631474199999502
28,2500,1.0444698627005384,3.4416487000016787,4.1921605999996245
29,2500,1.0817322161329777,3.4685862000005727,4.346162400001049
30,2500,1.0442402267105328,3.477495299997827,4.312158499997167
31,2500,1.0470493629483186,3.4499250999979267,4.191404199998942
32,2500,1.0529957187680723,3.4868506000020716,4.630589500000497
33,2500,1.0523165445598412,3.444416499998624,4.1823645000004035
34,2500,1.0393715065099838,3.449826700001722,4.315011000002414
35,2500,1.0482036825881638,3.453780200001347,4.3937422999988485
36,2500,1.0457917488302648,3.5198307999999088,4.576839600002131
37,2500,1.0618941004520797,3.5398155999973824,4.379394799998408
38,2500,1.0577783089850217,3.531365000002552,4.540294300000824
39,2500,1.0454304417682752,3.4495008000012604,4.149859600001946
40,2500,1.084692991179004,3.4563185999977577,4.389800799999648
41,2500,1.0582168809860222,3.4526387999976578,4.389028999998118
42,2500,1.0426170103922179,3.4532923999977356,4.303047599998536
43,2500,1.0524881000358544,3.441531500000565,4.433408400000189
44,2500,1.0399390142551792,3.445941899997706,4.461015900000348
45,2500,1.054607641711077,3.451699400000507,4.3636391
46,2500,1.0370138627688414,3.46572119999837,4.301908400000684
47,2500,1.067640814409376,3.451692799997545,4.353989499999443
48,2500,1.0627348867311144,3.449121499998,4.492287499997474
49,2500,1.0732792072282142,3.4564284999978554,4.146016599999712
50,2500,1.0669347184956761,3.4488407999997435,4.545597399999679
1,3000,1.0426126225764483,3.495454799998697,4.543103599997266
2,3000,1.0469152868627296,3.5496329000015976,4.556817900000169
3,3000,1.0514830848574153,3.502389100001892,4.736588700001448
4,3000,1.0435878421443634,3.4935865000006743,4.431749799998215
5,3000,1.0336605780056691,3.4662189000009676,4.918043199999374
6,3000,1.0552723463765306,3.488722499998403,4.480666600000404
7,3000,1.0337606030457576,3.4936233000007633,4.556201200000942
8,3000,1.0310200249837413,3.4947320999999647,4.436312899997574
9,3000,1.0386742657253383,3.5133069999974396,4.811694799998804
10,3000,1.0542807686704347,3.5063482000005024,4.55335880000348
11,3000,1.0406152506933393,3.504028399998788,5.0341520999973
12,3000,1.0494752971684431,3.49842340000032,4.598860499998409
13,3000,1.0520086094474488,3.4989571000005526,4.723186100000021
14,3000,1.0420512997819915,3.4949834999970335,4.498327199999039
15,3000,1.0582789144190303,3.4917112000002817,4.667376199999126
16,3000,1.0495613478776713,3.4936610000004293,4.605089100001351
17,3000,1.0437841068383351,3.4993291000027966,4.456432800001494
18,3000,1.0497563397516778,3.490756999999576,4.465009499999724
19,3000,1.0403683085819253,3.501476099998399,4.730750300001091
20,3000,1.030313019013923,3.5171793999979855,4.607758099999046
21,3000,1.0466001949637744,3.50115260000166,4.461014900000009
22,3000,1.0524697133549512,3.493280299997423,4.557086999997409
23,3000,1.0276264017686831,3.4939889999986917,4.899197399998229
24,3000,1.0608341735510292,3.5013947000006738,5.038163299999724
25,3000,1.039866670456894,3.502379199999268,4.321744799999578
26,3000,1.0489201315728014,3.50461709999945,4.403842199997598
27,3000,1.0510757016986705,3.4937223000015365,4.760790200001793
28,3000,1.0409054504242348,3.4886580999991565,4.58138080000208
29,3000,1.0700463859233702,3.504578100000799,4.934617499999149
30,3000,1.0626893294800175,3.5061344999994617,4.7801359000004595
31,3000,1.0612755536476437,3.48604720000003,4.498010399998748
32,3000,1.056717337413046,3.4811064999994414,4.291137699998217
33,3000,1.0384949494127742,3.496875299999374,4.653611699999601
34,3000,1.0521572209198515,3.5077134999992268,4.604775300002075
35,3000,1.0423360767593202,3.532963400000881,4.573541400000977
36,3000,1.0424327631142831,3.5166174000005412,4.49249029999919
37,3000,1.0568937736817914,3.494826699999976,4.288849000000482
38,3000,1.0440393797881538,3.516550799999095,4.937594600000011
39,3000,1.0529711966246562,3.492857699999149,4.628764599998249
40,3000,1.04868709242784,3.5077643000004173,4.238167700001213
41,3000,1.0459680467437842,3.5293004000013752,4.3998295000019425
42,3000,1.0613401547670924,3.4862809000005655,4.6673657999999705
43,3000,1.0481245920690074,3.475114600001689,4.581834600001457
44,3000,1.0314316150518672,3.4954174000013154,4.248094900001888
45,3000,1.0374208369380549,3.4974451000016415,4.7262554000008095
46,3000,1.0476468075732541,3.492208200001187,4.617860599999403
47,3000,1.048237102382557,3.5020947999983036,4.43785619999835
48,3000,1.0427394294756407,3.5049274999983027,4.394195099997887
49,3000,1.04880534582996,3.5510016000007454,4.6084081000008155
50,3000,1.038739072954406,3.5067736000019067,4.813473700000031
1,3500,1.0435938499616266,3.5005176000013307,5.1757894000002125
2,3500,1.034085872991848,3.478454000000056,4.331242099997326
3,3500,1.036512449959663,3.5495618999993894,4.70058649999919
4,3500,1.0355732839490388,3.4874589999999444,4.986795499997243
5,3500,1.0304136552946812,3.4910787000007986,4.80947340000057
6,3500,1.0324592567482787,3.4841076000011526,4.5328703000013775
7,3500,1.0405267908283133,3.533822000001237,4.588391000001138
