run,size,ratio,sampling_time_s,total_time_s
1,500,2.943370346784831,1.3227014000003692,1.5307939000049373
2,500,2.976151140138167,1.3357057999965036,1.5118580999987898
3,500,3.165583788419924,1.328537100001995,1.5794550999999046
4,500,2.7383106192648774,1.3345731000008527,1.5642764000003808
5,500,3.44411389982544,1.348925500002224,1.5952097000044887
6,500,2.9092540187023928,1.336759700003313,1.5903642000048421
7,500,3.385915841565576,1.3187069999985397,1.7198939000008977
8,500,3.414938506185693,1.31665979999525,1.6274103999967338
9,500,2.742736990012073,1.3158569000006537,1.531317900000431
10,500,5.893801194986155,1.333733100000245,1.9114712000009604
11,500,2.334586145750731,1.3397217000019737,1.585930900000676
12,500,2.073498899002749,1.3367339000033098,1.52280040000187
13,500,1.9337873722056185,1.3313993000047049,1.4903376000002027
14,500,7.14886421455565,1.336657899999409,1.7568673999994644
15,500,1.8940652071685342,1.3469862999991165,1.5022893999994267
16,500,2.2248038104426664,1.323124499998812,1.5501753999997163
17,500,3.714905976594334,1.3222417999932077,1.5796290999933262
18,500,1.9513844719016962,1.3168109999969602,1.501915499997267
19,500,4.003310022817455,1.3306859000003897,1.7333674999972573
20,500,2.378817889192229,1.3164787999994587,1.6014697999999044
21,500,2.8345874329601846,1.3304009999992559,1.6339230999947176
22,500,2.1042719794630385,1.3259169999946607,1.4874421999993501
23,500,1.9240530255073478,1.3291688000026625,1.5069957000014256
24,500,3.0299076982846618,1.343253699997149,1.55599319999601
25,500,8.826333507907092,1.333954099995026,2.2898920999941765
26,500,3.5007129579692235,1.3170672999985982,1.6946241000041482
27,500,2.0228863740713203,1.339055999997072,1.5343483999968157
28,500,2.6638741029582027,1.3202224999986356,1.588647899996431
29,500,2.340925799095996,1.330497100003413,1.5022853999980725
30,500,3.0091762311582517,1.3589214999956312,1.5564173999955528
31,500,3.9399720096339355,1.3318355000010342,1.628855000002659
32,500,2.337975198894959,1.3196507999964524,1.5257482000015443
33,500,2.1529655830128855,1.321552100002009,1.4587788999997429
34,500,2.6288151331959715,1.3118685000008554,1.4913243999981205
35,500,4.2848200434724095,1.3247696999969776,1.5788507999968715
36,500,2.1323424278323797,1.3370418999984395,1.539218099998834
37,500,2.2664009404318985,1.3242319999990286,1.4881531999999424
38,500,6.37122075902564,1.3276190999968094,1.9618660999985877
39,500,2.0255686161503133,1.3199045000001206,1.4804385000024922
40,500,2.163590847620521,1.3936363000029814,1.5877226000011433
41,500,5.0415938175670165,1.319999999999709,1.5721779000014067
42,500,1.8717522850666706,1.3138676999951713,1.5208520999949542
43,500,3.3812817402205995,1.3220384999949601,1.5682299999971292
44,500,2.821639957217517,1.332601500005694,1.6433251000053133
45,500,2.3149596863512785,1.3424451000028057,1.5357654000035836
46,500,2.268488154462474,1.3514319000023534,1.5256731000044965
47,500,8.221616820732002,1.3187774999969406,1.8344916999994894
48,500,2.399350356545078,1.3282856000005268,1.5596736000006786
49,500,1.990496504867798,1.3332618999993429,1.6226126000037766
50,500,5.331582765598964,1.3268081999995047,1.6700197000027401
1,1000,1.4354504399405656,1.3522732999990694,1.4891062999959104
2,1000,1.4587496360299457,1.3347351999982493,1.4674353999944287
3,1000,1.520373006234691,1.3390779999972438,1.5245654999962426
4,1000,1.4597256873573914,1.332970600000408,1.4878012999979546
5,1000,1.5559508130201565,1.336863299999095,1.4795191000011982
6,1000,1.4086987118044734,1.36010730000271,1.4852688000028138
7,1000,1.826683435539803,1.3237718999953358,1.515172799998254
8,1000,1.3684457690638476,1.3433857999989414,1.4761306000000332
9,1000,1.3523509662152566,1.3651585999978124,1.5014943999995012
10,1000,1.3433234884585632,1.3286597999976948,1.4729275999998208
11,1000,1.4330081802243686,1.3212542000037502,1.4611368000041693
12,1000,1.3929482409244665,1.3260424000036437,1.4700001000019256
13,1000,1.3094247605794138,1.3336752000031993,1.47601289999875
14,1000,1.4028596451420141,1.3490040999968187,1.482793800001673
15,1000,1.4111399252017582,1.332861299997603,1.4563656999962404
16,1000,1.3791115183281122,1.3335474999985308,1.4945774000007077
17,1000,1.388820907113957,1.3330896999977995,1.4949246000032872
18,1000,1.4748946830374658,1.3267046000037226,1.4615792000040528
19,1000,1.5919744812561547,1.3824042999985977,1.5499849999978323
20,1000,1.3348416814326953,1.3563943000044674,1.4857841999983066
21,1000,1.433759178947424,1.335391400003573,1.5128364999982296
22,1000,1.6233699166099538,1.3347211000000243,1.51182730000437
23,1000,1.4011623111645828,1.3294462000048952,1.4553265000067768
24,1000,1.3349335837382583,1.3317154999967897,1.4587584999972023
25,1000,1.4107759203108572,1.3176793000020552,1.462962500001595
26,1000,1.2903470444816618,1.3268819000004441,1.4473350000043865
27,1000,1.681793237537269,1.336119300001883,1.503859399999783
28,1000,1.4241292755316108,1.3464976999966893,1.4687475000027916
29,1000,1.851443785878069,1.3564415000000736,1.5024517999991076
30,1000,1.543240237925298,1.3240200000000186,1.5473913000023458
31,1000,1.629949702691991,1.3502768000034848,1.5306238000048324
32,1000,1.288783781199666,1.3360950999995111,1.470124700004817
33,1000,1.6679180574651828,1.3282390999956988,1.4606256999977631
34,1000,1.3714330631546612,1.3368774999980815,1.4998012999931234
35,1000,1.2739101147558762,1.3213566999984323,1.4332335999934003
36,1000,1.2690104011890249,1.3316481000001659,1.4601335000043036
37,1000,1.5296824489910004,1.3340570000000298,1.4664062000010745
38,1000,1.4323568788037342,1.3301697000060813,1.4811556999993627
39,1000,1.6301483760361382,1.3375162000011187,1.5098913999972865
40,1000,1.4388941634215051,1.3233835999999428,1.4919662999964203
41,1000,1.455342547747058,1.3207599000015762,1.4738069999948493
42,1000,1.4100835861401406,1.3239603000038187,1.4536044000051334
43,1000,1.5942497841898384,1.3324051999952644,1.4918278999975882
44,1000,1.4080753765742346,1.3581919999996899,1.4950261000049068
45,1000,1.4404032780315197,1.3227518999992753,1.4688643000044976
46,1000,1.6786807829922963,1.3197865000038291,1.508777300005022
47,1000,1.6312876833579277,1.3616981000013766,1.5298234000001685
