run,size,ratio,sampling_time_s,total_time_s
1,1000,1.2372840250489978,2.1675467000000026,2.2514978000003794
2,1000,1.1860396723883107,2.1859417999999096,2.277776299999914
3,1000,1.0665473915342556,2.432340799999565,2.530127199999697
4,1000,1.1024018643828712,2.228788899999927,2.294041399999969
5,1000,1.1358561591231955,2.1694852000000537,2.255739000000176
6,1000,1.2153967614769303,2.1896784999999,2.2904200000002675
7,1000,1.1007397437994342,2.167340100000274,2.320643399999881
8,1000,1.1232004321870472,2.213761500000146,2.314901600000212
9,1000,1.163926713511405,2.232025000000249,2.3204948000002332
10,1000,1.1246324848983793,2.1854666000003817,2.262862800000221
11,1000,1.2933981376969734,2.195488100000148,2.26698290000013
12,1000,1.115652404689194,2.0932293000000755,2.1883112000000438
13,1000,1.0877220933719187,2.1812684000001354,2.326813399999992
14,1000,1.158238801447428,2.212983500000064,2.28942619999998
15,1000,1.1148912080279525,2.1744268000002194,2.2649516000001313
16,1000,1.1020631422327773,2.502540399999816,2.633408900000177
17,1000,1.1513073441439996,2.3594615999995767,2.497842799999944
18,1000,1.2560086820503777,2.2955770000003213,2.4274380000001656
19,1000,1.0982422020509754,2.3055005999999594,2.463044899999659
20,1000,1.1708463273181764,2.2033650000003036,2.3101206999999704
21,1000,1.0894507064090562,2.1871274000000085,2.2720886000001883
1,3000,1.0300945340905658,2.1711472000001777,2.46008669999992
2,3000,1.0616495556211574,2.1533385000002454,2.640375800000129
3,3000,1.0303030901961228,2.1718159999995805,2.474791699999969
4,3000,1.0360918569155133,2.132855600000312,2.6328004000001783
5,3000,1.025091440927021,2.1462557999998353,2.5020543000000544
6,3000,1.040758801094112,2.171866399999999,2.5392691000001832
7,3000,1.0326696544008693,2.154319100000066,2.441131099999893
8,3000,1.041186529346128,2.148277899999812,2.522167399999944
9,3000,1.0332276357712202,2.021121900000253,2.584363899999971
10,3000,1.0303251729114495,2.078025699999671,2.186382599999888
11,3000,1.0215648375193984,2.1751460999998926,2.599123999999847
12,3000,1.035529892720719,2.213279600000078,2.6227936000000227
13,3000,1.0247868473172326,2.178931000000375,2.442617500000324
14,3000,1.0417265590172333,2.213045400000283,2.60895950000031
15,3000,1.0579139758806133,2.184748199999831,2.5365508999998383
16,3000,1.0417505635852922,2.162920799999938,2.4278454999998758
17,3000,1.0394748910582101,2.1856401999998525,2.6159609999999702
18,3000,1.0476933222101252,2.110492599999816,2.2915125999998054
19,3000,1.023821653458163,2.1523557999998957,2.766707399999632
20,3000,1.0344133185905535,2.163384599999972,2.4518702000000303
21,3000,1.0328001289774031,2.286042499999894,2.622242499999629
1,5000,1.0278355455515313,2.2460645999999542,2.791367100000116
2,5000,1.01425998673133,2.2537532000001193,2.9352217999999084
3,5000,1.0249165539985086,2.2374878999999055,2.6315857999998116
4,5000,1.013067545899402,2.214027999999871,2.723852099999931
5,5000,1.0262356687867038,2.0962681999999404,2.6829710000001796
6,5000,1.0201896371830208,2.3405327000000398,2.883984000000055
7,5000,1.0264030040189145,2.24489659999972,2.5346387999998115
8,5000,1.0213208321678355,2.2507729999997537,2.9185074000001805
9,5000,1.019584174156148,2.2736345999996956,2.889674399999876
10,5000,1.0156591302114886,2.4766826000000037,3.4596474999998463
11,5000,1.0325278000985874,2.802968899999996,3.5589421999998194
12,5000,1.021113654036938,2.3654805999999553,3.2740475999999035
13,5000,1.0211962945850328,2.3563951999999517,2.5865054000000782
14,5000,1.0173975354501559,2.294236499999897,2.980069900000217
15,5000,1.0217808032131586,2.278624800000216,2.9620467000004282
16,5000,1.0245168923525068,2.224557300000015,2.9949784999998883
17,5000,1.020004010041536,2.234144699999888,2.877484899999672
18,5000,1.0217479177380555,2.2808029000002534,2.8981096000002253
19,5000,1.0231424218104355,2.2234035000001313,2.7759576000003108
20,5000,1.020698954153343,2.1347906000000876,2.517470599999797
21,5000,1.0171257491071253,2.143384100000276,3.039131300000008
1,7000,1.0269010573423767,2.231469599999855,2.4560215999999855
2,7000,1.0127621691063167,2.2992786999998316,3.009234699999979
3,7000,1.016806698737579,2.2503139999998893,3.2532044999998107
4,7000,1.0128282252262613,2.28105000000005,2.9136211000000003
5,7000,1.0133778522145553,2.2327878000000965,3.0886413000002904
6,7000,1.019140112475124,2.214737000000241,2.8365021000004162
7,7000,1.0193524256011786,2.2771013999999923,3.2191126999996413
8,7000,1.018718737091702,2.2959218999999393,3.0071619000000283
9,7000,1.0190246392904239,2.341908699999749,3.2242510999999467
10,7000,1.0135477531634103,2.2534114000000045,3.082992699999977
11,7000,1.0184396071532298,2.256023400000231,3.2455230000000483
12,7000,1.0187473126993827,2.327732499999911,2.9295055999996293
13,7000,1.0151103702625126,2.284081100000094,3.0938419999997677
14,7000,1.0221735760961235,2.1948785000004136,2.7400519000002532
15,7000,1.0147890191443367,2.161997799999881,2.7651922999998533
16,7000,1.012454391528049,2.5336233999996693,3.331171099999665
17,7000,1.0172409827539894,2.683875799999896,3.7671063000002505
18,7000,1.0172054641510149,2.499922599999991,2.9906200999998873
19,7000,1.0135472808204489,2.434357000000091,3.3936221999997542
20,7000,1.0213394611732984,2.355862200000047,3.1542669000000387
21,7000,1.025758435975941,2.225815799999964,3.4665758999999525
1,9000,1.019603241859236,2.3333228999999847,3.3473614999998063
2,9000,1.0083927288161532,2.3643989000001966,3.5336174000003666
3,9000,1.0118437725407385,2.329769899999974,3.370050799999717
