run,size,ratio,sampling_time_s,total_time_s
1,1000,1.5327197527109073,5.453058600000077,5.704598300000271
2,1000,1.182580402147365,5.417431500000021,5.614466900000025
3,1000,1.2060102726093562,4.502314899999874,4.680773699999918
4,1000,1.1372007771051176,5.126706900000045,5.434045499999684
5,1000,1.3407309362960038,4.9570776999999,5.141786500000308
6,1000,1.3263630949241,5.44767069999989,5.738033399999949
7,1000,1.2034164704347998,3.831536700000015,3.9621907000000647
8,1000,1.2546330262395504,3.3309314000002814,3.5276455000002898
9,1000,1.189337128597841,4.030233700000281,4.229983600000196
10,1000,1.2109272695727509,4.302854399999887,4.399820399999953
11,1000,1.21390481066222,4.52251380000007,4.703421799999887
12,1000,1.3541566314674909,4.670546800000011,4.917438800000127
13,1000,1.3682799148705809,4.735634000000118,4.9552426999998715
14,1000,1.1929189097563955,4.5694109999999455,4.747454100000141
15,1000,1.1636622562063037,4.638862600000266,4.834401399999933
16,1000,1.1019699431276833,4.248728300000039,4.448445699999866
17,1000,1.2349426244184811,4.967746400000124,5.23804280000013
18,1000,1.197285175334848,4.578449600000113,4.681937700000162
19,1000,1.208125906374317,5.570783499999834,5.808199699999932
20,1000,1.2160734248792135,4.587276199999906,4.786982999999964
21,1000,1.2457994867811097,4.8850351000000956,5.05398439999999
1,3000,1.1030633247005186,4.999483499999769,5.963503500000115
2,3000,1.1429004831165472,5.272373800000423,5.495693900000333
3,3000,1.1203853910693067,5.278738400000293,5.556050700000014
4,3000,1.1294126899153212,5.009806800000206,5.239077600000201
5,3000,1.1181954390765099,5.075819700000011,5.672288199999912
6,3000,1.1202929917721718,5.633700100000169,6.465629700000136
7,3000,1.1517639745886832,5.403497700000116,6.0783926999997675
8,3000,1.1300357207992735,5.046466400000099,5.53991730000007
9,3000,1.0758252297191364,4.5249220000000605,4.964660699999968
10,3000,1.1542349242755974,4.992100200000095,5.741400899999917
11,3000,1.1541727996587063,4.352768799999922,4.767002600000069
12,3000,1.1398807326636897,4.486932199999956,4.9000058999999965
13,3000,1.1400186421155358,3.9193500000001222,4.294793000000027
14,3000,1.1391751638106586,4.854949200000192,5.299397200000385
15,3000,1.1291050314519495,4.494140199999947,4.821599799999603
16,3000,1.1523556180041814,4.3285172000000784,4.597934599999917
17,3000,1.110861056995905,3.8926956000000246,4.218781399999898
18,3000,1.197282097027847,4.4127228000002106,4.831775099999959
19,3000,1.1115352041814752,4.487112099999649,4.972261099999741
20,3000,1.162363841088403,4.941634999999678,5.3594858999999815
21,3000,1.1460482664746097,3.176321899999948,3.5986393000002863
1,5000,1.1327495032815247,4.220651000000089,4.952007299999877
2,5000,1.1102563366151608,5.641521499999726,6.337029599999823
3,5000,1.1186113319822961,5.280653099999654,5.786887399999614
4,5000,1.1185801849122075,4.791862000000037,5.5190622999998595
5,5000,1.0954206305015366,2.7212423999999373,3.055208499999935
6,5000,1.117531275482435,2.307224500000302,2.9698065000002316
7,5000,1.150371335455772,2.189352500000041,2.5038079999999354
8,5000,1.0852464403417947,2.8310779999997067,3.3564885000000686
9,5000,1.1212059748541956,2.280888899999809,2.509295800000018
10,5000,1.1214882561491628,2.2043101999997816,2.5705245999997715
11,5000,1.1130780778817504,2.4708730000002106,2.929160800000318
12,5000,1.084169840812897,2.793238400000064,3.3498516999998174
13,5000,1.1231053082578804,3.0051745000000665,3.3841772999999193
14,5000,1.1073722323372182,2.72202470000002,3.2221911000001455
15,5000,1.1009059979633617,2.6972436000000926,3.024580700000115
16,5000,1.0941585355734704,2.815313199999764,3.154476700000032
17,5000,1.1244820700348714,2.665382900000168,3.1213056999999935
18,5000,1.153176939025964,2.6071286999999757,2.92003590000013
19,5000,1.1097363894526142,2.58807650000017,2.970205700000406
20,5000,1.1936494773898325,2.858287300000029,3.3059038000001237
21,5000,1.0920323781452779,2.6177763000000596,2.9229174000001876
1,7000,1.1416314300828463,2.6415781000000607,3.170140899999751
2,7000,1.087910600691983,2.68311470000026,3.2739486000000397
3,7000,1.1228210183812575,2.6594214000001557,3.384580200000073
4,7000,1.1174824206858018,2.639243300000089,2.8807513000001563
5,7000,1.1468103279663875,2.669360699999743,3.0610329000001
6,7000,1.1025940014950117,2.7402045999997426,3.4122887999997147
7,7000,1.1089438408623282,2.7448011000001316,3.5934970000002977
8,7000,1.0685352937537058,2.6820255999996334,3.339541299999837
9,7000,1.093991015826914,2.652711800000361,3.072974400000021
10,7000,1.0883998150379524,2.595957200000157,3.1387524000001576
11,7000,1.0710555861711837,2.6229816999998548,3.3310222000000067
12,7000,1.1053136773806298,2.656912200000079,2.8687738999997237
13,7000,1.1325283631328602,2.7658472000002803,3.619035000000167
14,7000,1.0977751119798804,3.1533753000003344,3.9198677000003954
15,7000,1.106724307806645,2.679418700000042,3.3130035999997745
16,7000,1.0929467714159768,2.6158768999998756,3.22659079999994
17,7000,1.0980370331086582,2.727400000000216,3.154363800000283
18,7000,1.0869437895309206,2.6762401999999383,3.2614739000000554
19,7000,1.0822306729580926,2.6592702000002646,3.267197500000293
20,7000,1.1365948897302849,2.7666497999998683,3.2636906999996427
21,7000,1.1233309117267445,2.7338173999996798,3.384929899999861
1,9000,1.106818677968782,2.7616649999999936,3.3552631000002293
2,9000,1.0848677718278523,2.7670216999999866,3.06989300000032
3,9000,1.0957307316893445,2.668577699999787,3.3384579999997186
