run,size,ratio,sampling_time_s,total_time_s
1,10000,4.4887662634258385,1.1668697000000066,3.6697533999999905
2,10000,29.63066562725982,1.1722165000001041,3.0880119999997078
3,10000,14.79927988533992,1.156180200000108,2.514267800000198
4,10000,9.055302170825673,1.1203483999997843,2.8821336000000883
5,10000,16.503700916547555,1.2875091999999313,2.8923971999997775
6,10000,4.35429492582293,1.1456532999995943,2.534197099999801
7,10000,18.706921647027293,1.239546899999823,3.7262926999997035
8,10000,3.4017956275385797,1.265446399999746,3.2707704999997986
9,10000,6.2310190947691275,1.2364291999997477,2.3185270999997556
10,10000,20.909367940050597,1.1559345999999096,2.234182099999998
11,10000,5.063676728705222,1.291352199999892,3.0950394999999844
12,10000,8.815979907773393,1.139206700000159,2.5646488000002137
13,10000,2.768468263308315,1.1426438999997117,1.7874795999996422
14,10000,1.864380916647647,1.0968289000002187,1.8130921000001763
15,10000,35.818176091795245,1.133067299999766,2.5970659999998134
16,10000,8.488263356479584,1.145966000000044,2.6076787000001787
17,10000,4.829297848232699,1.1626188999998703,3.214946399999917
18,10000,8.76429448534246,1.1365728000000672,3.705621400000382
19,10000,14.310067658304861,1.1499586999998428,1.9100021999997807
20,10000,54.3142454086471,1.167420900000252,2.3714435000001686
21,10000,9.286803167426543,1.1613795000002938,1.8509597000002032
1,12000,12.51709983835475,1.0849813999998332,2.3633389000001443
2,12000,7.841775773711364,1.1226526000000376,4.8145338999997875
3,12000,4.095123988607855,1.1581003999999666,2.0412530999997216
4,12000,6.0125312503669575,1.1087775999999394,3.073532399999749
5,12000,2.9302876038314785,1.098177900000337,2.0814783000000716
6,12000,4.123930080245492,1.2062551999997595,3.166820099999768
7,12000,12.3707830583814,1.1442081000000144,2.3129523000002337
8,12000,5.2159504871957285,1.1298240000000987,3.3131374999998116
9,12000,2.886016333594045,1.1247582999999395,1.9322385999998914
10,12000,6.16614614513797,1.137647399999878,4.24095699999998
11,12000,9.236735658877135,1.1197078000000147,1.9282594999999674
12,12000,25.832659819433662,1.120730900000126,3.4042491000000155
13,12000,4.466687837329682,1.1705375000001368,2.4731651000001875
14,12000,3.549451557777755,1.104114700000082,2.451691799999935
15,12000,2.3315457090265115,1.125112899999749,2.8432459999999082
16,12000,6.552275177771573,1.1109081999998125,2.8431894000000284
17,12000,3.0330650420007985,1.1765706000001046,2.212981899999704
18,12000,5.374485913039115,1.1113142999997763,2.277085199999874
19,12000,5.942506491599582,1.4467808999997942,2.0418853000001036
20,12000,4.660988031589753,1.2725719000000026,2.5167249999999513
21,12000,6.81959041108688,1.4537263000001985,3.5184854000003725
1,14000,4.7161758647818575,1.311157799999819,3.450902799999767
2,14000,3.0378211051122967,1.125927099999899,3.0285022000002755
3,14000,4.79065437056055,1.20092300000033,2.916595900000175
