run,size,ratio,sampling_time_s,total_time_s
1,1000,1.3456694483916825,1.0408700999996654,1.1409919999996418
2,1000,1.3604481471515808,1.0340139999998428,1.153844699999354
3,1000,1.517530774635502,1.0325229999998555,1.1872049999992669
4,1000,1.4407505401176903,1.0144269000002168,1.1381482000006145
5,1000,1.8557251079872814,1.0085391000002346,1.1483618000002025
6,1000,1.4963741002608748,1.0327542999993966,1.1840813999997408
7,1000,1.5762583517870867,1.0090110999999524,1.1048370999997132
8,1000,1.4708125775241956,1.0318889999998646,1.1940834999995786
9,1000,1.4882327866120677,1.042596099999173,1.1624779999992825
10,1000,1.9739129909784996,1.0584767999998803,1.222190600000431
11,1000,1.5216714850676165,1.0270229999996445,1.1295907999992778
12,1000,1.5588883390352843,1.0553359000005003,1.174826899999971
13,1000,1.7060065392675794,1.0196914000007382,1.2019464000004518
14,1000,1.433697195204299,1.03551139999945,1.165567899999587
15,1000,1.4317111559546993,1.0552959000006013,1.1515054999999847
1,2000,1.1562479390122251,1.0565281000008326,1.165054100000816
2,2000,1.209713454277278,1.0441313000001173,1.1565174999996088
3,2000,1.2649175070466883,1.0770577000002959,1.2199024000001373
4,2000,1.2023134918368694,1.063910599999872,1.1816869000003862
5,2000,1.1460361246010875,1.039570900000399,1.1478586000002906
6,2000,1.1672474571528588,1.0489504999995916,1.1706590000003416
7,2000,1.147409811563606,1.0527965000001132,1.1589266999999381
8,2000,1.144240206627523,1.0519070999998803,1.1393012999997154
9,2000,1.1757698916627823,1.0638168000004953,1.1557369000001927
10,2000,1.1367213682634703,1.0385664000004908,1.161538900000778
11,2000,1.2616584540262994,1.0386637000001429,1.1835037000000739
12,2000,1.263174392297783,1.0405147000001307,1.1582687000000078
13,2000,1.2304562243514128,1.0302660999996078,1.1489999999994325
14,2000,1.1660144129600463,1.0457179000004544,1.1625778000006903
15,2000,1.1454228473988546,1.0380019999993237,1.141533399999389
1,3000,1.1512124941681088,1.037882599999648,1.2043667999996615
2,3000,1.1770393223285431,1.041359700000612,1.2333722000003036
3,3000,1.0953891514240328,1.007394799999929,1.1635146999997232
4,3000,1.1029281710335563,0.992545400000381,1.1322085000001607
5,3000,1.098247600584163,1.0461513000000195,1.2048151999997572
6,3000,1.1562879932545438,1.088835200000176,1.2955450999997993
7,3000,1.164550053178576,1.0428951999992933,1.2040391999998974
8,3000,1.082470161595186,1.0307972000000518,1.1726358999994773
9,3000,1.167837621630614,1.0295308000004297,1.2126620000008188
10,3000,1.124350306567698,1.01717809999991,1.1618875000003754
11,3000,1.0997981900822664,1.0454378999993423,1.2015989999999874
12,3000,1.0986144216140965,1.0106896999996025,1.16958539999996
13,3000,1.1474919379379458,1.0053469999993467,1.1885536999998294
14,3000,1.1010828887180633,1.0099989000000278,1.1400376000001415
15,3000,1.1275269193630886,0.9949741000000358,1.133947100000114
1,4000,1.0683035020310954,1.0123050000001967,1.1936559000005218
2,4000,1.0842798376513016,1.0395236999993358,1.2318660000000818
3,4000,1.0587363355485437,1.0366522000003897,1.2034895000006145
4,4000,1.0587958476537966,1.0224624000002223,1.1585376000002725
5,4000,1.1106552255909494,1.0355669999999009,1.222427400000015
6,4000,1.0604920706637613,1.0201536000004126,1.160151600000063
7,4000,1.0403489958079162,1.031469599999582,1.188572000000022
8,4000,1.0825351635544285,1.0178968999998688,1.1767244999991817
9,4000,1.1488825550595554,1.0389161000002787,1.2615175999999337
10,4000,1.0884464526916233,1.0356583999991926,1.1883077999991656
11,4000,1.0793774442968187,1.0178561000002446,1.183614900000066
12,4000,1.0646903813252793,1.0174058000002333,1.1757356999996773
13,4000,1.0967234698559605,1.022985399999925,1.1894358999998076
14,4000,1.0717338376249756,1.036192000000483,1.1646115000003192
15,4000,1.0721254247537442,1.0294154999992315,1.2350331999996342
1,5000,1.0810308476752766,1.0483030999994298,1.2334173999997802
2,5000,1.040640367838347,1.0302859000003082,1.1601418000000194
3,5000,1.0994253247855348,1.0067739000005531,1.1907318000003215
4,5000,1.0945076084886667,1.0195560000001933,1.231404800000746
5,5000,1.0740853455191393,1.0036901000003127,1.2012070000000676
6,5000,1.0469316434121159,1.0495239000001675,1.2131133000002592
7,5000,1.0623435934779106,0.9758458000005703,1.1475702000007004
8,5000,1.0560099981351745,0.9750400000002628,1.1433539999998175
9,5000,1.049657012171816,0.9872187999999369,1.176379700000325
10,5000,1.0740879345837453,0.9925040999996781,1.2071511000003738
11,5000,1.0647182613477002,1.008375899999919,1.1602115000005142
12,5000,1.0562461957104075,1.0106975000007878,1.1601088000006712
13,5000,1.0640163046751037,1.0497747999997955,1.2175118999994083
14,5000,1.0583482835182394,1.0392197999999553,1.2515744000002087
15,5000,1.0589147035546371,1.034014500000012,1.1879876000002696
1,6000,1.0442705789506115,1.0076492999996844,1.1910635000003822
2,6000,1.0581913795455924,1.0315950000003795,1.2343626000001677
3,6000,1.0479132287884227,1.0157936000005066,1.1682240000000093
4,6000,1.0729811940164495,1.0139687999999296,1.2219660000000658
5,6000,1.0771802408571172,1.0063084999992498,1.2023613000001205
6,6000,1.048237940079017,1.0074421999997867,1.193529099999978
7,6000,1.0846509379381102,1.0245350000004692,1.22949779999999
8,6000,1.063621242823614,1.0157292999992933,1.1991473999996742
9,6000,1.0544128118771063,1.0392370999998093,1.1980831000000762
10,6000,1.037447687202776,1.0729654000006121,1.259393799999998
11,6000,1.046694236221807,1.080128099999456,1.2722938999995677
12,6000,1.0509873623475725,1.0422116999998252,1.2168410999993284
13,6000,1.041746450903296,1.0258303000000524,1.2093199000000823
14,6000,1.048283585165055,1.0347584999999526,1.2454802000002019
15,6000,1.0649272863354908,1.011307300000226,1.2038377999997465
1,7000,1.041417617983277,1.0439607999996952,1.2316718000001856
2,7000,1.0418510024027632,1.0371463999999833,1.2339050000000498
3,7000,1.041225505596335,1.0461790999997902,1.231585699999414
4,7000,1.043871435637327,1.0260069999994812,1.1910485999997036
5,7000,1.042639382264251,1.0170325000008233,1.2433937000005244
6,7000,1.032804388050063,1.0206719999996494,1.227484099999856
7,7000,1.0637436893099355,1.0257741000004899,1.2227246000002197
8,7000,1.0370211726180207,1.0290336999996725,1.2011383999997634
9,7000,1.0555782244362644,1.0250941000003877,1.2500271999997494
10,7000,1.0305708309031016,1.0308633000004193,1.206065899999885
11,7000,1.0423893819548344,1.003119300000435,1.18143340000006
12,7000,1.0319978059252328,1.0415127999995093,1.2257106999995813
13,7000,1.0403087514354232,1.0061863999999332,1.178333500000008
14,7000,1.0682830580643465,1.011654599999929,1.2418844000003446
15,7000,1.0520855418368915,1.0424320000001899,1.2390095999999176
1,8000,1.0305236645589282,1.014374499999576,1.184070299999803
2,8000,1.031231117009442,1.0057399000006626,1.1758079999999609
3,8000,1.031416956889473,1.0166858000002321,1.1926013000002058
4,8000,1.0271070421753936,1.0022079999998823,1.1694994999998016
