run,size,ratio,sampling_time_s,total_time_s
1,500,1.274949015946168,59.09140367904911,59.15101009904174
2,500,1.1967648926678247,63.66172097402159,63.81418170401594
3,500,1.3950949191229807,65.37174516398227,65.9489645739668
4,500,1.332893533458692,65.58983708696906,65.7078922369983
5,500,1.4213742451978502,61.88094851799542,61.92417536099674
6,500,1.2814591156339536,55.02879270800622,55.075057649984956
7,500,1.307771226157948,65.57116234401474,65.88173396501224
8,500,1.5553675289031073,67.46881203399971,67.65277812501881
9,500,1.9229175844529929,66.9024925880367,66.9396401779959
10,500,1.4618120416582463,67.32847609801684,67.384504287038
11,500,1.390218657975883,66.384210343007,66.56452206801623
12,500,1.3825299265821802,63.767090620007366,63.83134512597462
13,500,1.2914095009583533,62.516579501039814,62.70157376700081
14,500,1.2654467332366184,66.84377014101483,67.1023996170261
15,500,1.4679592555153744,58.211778737953864,58.23358758899849
16,500,1.348625042644828,66.14800266799284,66.40042038803222
17,500,1.3113478475768252,67.4050516760326,67.6717606720049
18,500,1.35817944638183,67.3290087049827,67.78911569999764
19,500,1.5361565221409408,66.30574289598735,66.35005917097442
20,500,1.3341931222237482,66.09994198800996,66.4658851660206
21,500,1.4551499579319604,65.37670426000841,65.56787028600229
1,1000,1.3925610698928803,163.67863848997513,164.74181509698974
2,1000,1.2419479417834067,179.42204160999972,181.07435714098392
3,1000,1.2523604314071377,163.70048834301997,164.09753100102535
4,1000,1.1639746081006532,226.60179423796944,227.8672196859843
5,1000,1.2665069048722466,265.9702167669893,266.2669589149882
6,1000,1.3059067959025592,218.75250450801104,224.10495232901303
7,1000,1.2903156278718573,187.5083949570544,188.76134741102578
8,1000,1.2810970846558318,203.43897661101073,204.87756003602408
9,1000,1.5993009328362273,144.16006495198235,144.48758078698302
10,1000,1.244969487173172,230.57692711497657,231.94861065299483
11,1000,1.214550129416323,132.46041464601876,132.578787972976
12,1000,1.6434261644240986,180.82850789802615,181.1445986390463
13,1000,1.2234794211451177,191.32685055298498,196.15203844499774
14,1000,1.2841814852889526,139.0467075590277,139.20019576099003
15,1000,1.2385275510789422,184.0409758950118,185.72844159399392
16,1000,1.2726384799127155,190.0934696639888,191.51773049199255
17,1000,1.3149121585326844,200.1171083340305,200.81884902500315
18,1000,1.4418989447820607,176.99554460594663,178.81930610595737
19,1000,1.2503805117213795,181.74795347300824,182.8353948740405
20,1000,1.3745573570605238,192.06199870596174,193.85057916195365
21,1000,2.5996116295327654,280.39790948398877,285.1523490870022
1,1500,1.2883250122607868,451.5412188170012,452.50020002003293
2,1500,1.3014234891922731,633.8776098620147,637.6889994720113
3,1500,1.2556798308188781,627.9957388180192,629.0401420100243
4,1500,1.2773938016147488,732.4647521320148,735.9209260490024
5,1500,1.3502446561086143,559.5191803029738,561.5522889909917
6,1500,1.2159724778316516,621.0476064609829,621.9764373489888
7,1500,1.3457393748945334,635.5402813210385,637.9353235760354
8,1500,1.2941171565199208,598.8816630580113,600.3931452389807
9,1500,1.290259631676512,502.87529596703826,503.48892352503026
10,1500,1.3658140131217054,597.6672893380164,598.4633521040087
11,1500,1.2160309700724836,613.1727609169902,615.9130362030119
12,1500,1.3994565487016786,649.381155243027,651.383129963011
13,1500,1.2378728944943995,564.7447539559798,567.5040514480206
14,1500,1.3542082781048426,389.83929940901,390.1356428290019
15,1500,1.2708352365062192,540.3262727959664,544.6527167379973
16,1500,1.220602375414895,497.3981178890099,498.33563836000394
17,1500,1.3398947367256926,437.1266179200029,437.8996437250171
18,1500,1.3274700001548805,446.19320357003016,447.3702322029858
19,1500,1.6353810777429587,522.458687093982,523.3045517299906
20,1500,1.1711871629438897,562.7647360379924,564.9476189989946
21,1500,1.244440231490758,725.8385947909555,728.7362962129992
1,2000,1.2727318507648142,1170.2275023920229,1173.3676490590442
2,2000,1.269260251221755,1215.1129777120077,1215.8666943139979
3,2000,1.2932545199500167,1148.6944154829835,1151.8238466409966
4,2000,1.2031945333447194,1159.7275349139818,1163.347759407945
5,2000,1.1742969389393105,1098.9669343769783,1101.6258666749927
6,2000,1.2835095354621877,1286.3415186509956,1291.1343664830201
7,2000,1.755903977886045,1049.2405156940222,1050.9525775120128
8,2000,1.1969681437590203,1067.0595603380352,1071.4979104140075
9,2000,1.186731312829343,970.5701404169668,977.4460919419653
10,2000,1.332905333400673,1066.8454728570068,1068.5643006259925
11,2000,1.170973110795348,1288.079942730954,1296.6117918929667
12,2000,1.226916193037174,1101.2602687110193,1135.2651920309872
13,2000,1.2472053443385276,1145.9639691259945,1147.5358814609936
14,2000,1.3298602516822078,1131.2562656890368,1133.7308755239937
15,2000,1.1812209519518109,1089.6580533939996,1092.081829392002
16,2000,1.2238621150727351,1016.9927658109809,1028.4946021449869
17,2000,1.257823919929249,1212.0037702579866,1213.465507744986
18,2000,1.3807026293622235,1038.5987769770436,1040.7494304890279
19,2000,1.2482739766468562,1059.672449109028,1065.9262711590272
20,2000,1.3032640261743123,986.8683288700413,987.6743245550315
21,2000,1.244379732213652,973.6252789380378,975.9649405630189
1,2500,1.212649874215308,1767.840145825001,1774.893428112031
2,2500,1.480254530578601,1479.2146365629742,1479.8566888299538
3,2500,1.2073722004784078,1518.316994000983,1523.6260118350037
4,2500,1.4437003606644532,1747.2073393879691,1748.551435559988
5,2500,1.1759628617727806,1793.8921735059703,1826.8163463409874
6,2500,1.1955115581738343,2018.485336037993,2020.893204380991
7,2500,1.306951778892506,1481.3767686010106,1486.6212219650042
8,2500,1.2522029337792793,1681.6065077140229,1682.6002772030188
9,2500,1.2504625761036139,1807.3177114839782,1815.085907989007
10,2500,1.1403318187460902,1768.8060531950323,1769.5930202720338
11,2500,1.194666847936845,1648.8875374480267,1660.1226924520452
12,2500,1.2078233796594033,1623.7718553220038,1650.3850786919938
13,2500,1.2034697505616792,1642.0595086439862,1643.890120394004
14,2500,1.2635567516207615,1694.6966583519825,1702.0100076060044
