run,size,ratio,sampling_time_s,total_time_s
1,500,1.624019344247928,1.038068232999649,1.708452808961738
2,500,1.5106699862414599,1.038501497998368,2.0235007659648545
3,500,1.7952733211922265,1.051652403024491,2.1694929120130837
4,500,1.957287331473975,1.0401564220082946,1.463875574991107
5,500,1.7038396060155883,1.0618618940352462,1.6184533539926633
6,500,1.8580626054801548,1.0456589849782176,1.5355838089599274
7,500,1.453528086341118,1.047384361969307,1.3918989229714498
8,500,1.955211053323711,1.0374540080083534,1.428154680004809
9,500,2.0194864451800383,1.0441176580497995,2.4937812340212986
10,500,1.9204810635610114,1.048052514961455,1.8673099739826284
11,500,1.476004644217712,1.0403044859995134,1.3452797909849323
12,500,1.5779724397734463,1.0460622850223444,1.8377778439898975
13,500,1.8277407785956525,1.045970709004905,1.6207324319984764
14,500,1.5580046884657162,1.0466060159960762,1.859535222989507
15,500,1.5579772508718124,1.0442304729949683,1.699229886988178
16,500,1.8209209620228903,1.0462535939877853,1.8057788370060734
17,500,1.4720397308719337,1.0450584909995086,1.6477155960164964
18,500,1.7393436863750953,1.0458209580392577,1.5982663860195316
19,500,1.6119402866100399,1.0472030859673396,1.5647715319646522
20,500,1.3627622420814345,1.0447228430421092,1.375335825025104
21,500,1.5063408839776042,1.0449951339978725,1.783531563996803
1,1000,1.3396003880913523,1.0639767609536648,2.057889938005246
2,1000,1.30748394684344,1.0542939950246364,1.3807017840445042
3,1000,1.3535461035117693,1.0504582389839925,2.0578058329992928
4,1000,1.294484337967663,1.051871559000574,2.234889761020895
5,1000,1.449867847933521,1.0549749130150303,3.2369288069894537
6,1000,1.3208057666434865,1.0547426049597561,2.147125724994112
7,1000,1.2726124415412294,1.051121217024047,2.079737007035874
8,1000,1.324121110669673,1.0476355470018461,1.9559391289949417
9,1000,1.2760145911505911,1.0673768399865367,1.8893894029897638
10,1000,1.325638280883105,1.053870686038863,2.3829892170033418
11,1000,1.3557432380159695,1.0407614040304907,1.8340287519968115
12,1000,1.3294131774004414,1.0514983769971877,2.4513975539593957
13,1000,1.3068860633530315,1.0599300430039875,2.5328223439864814
14,1000,1.3765629923315967,1.0493948879884556,2.1228511329973117
15,1000,1.2794511022948822,1.0499633189756423,3.0787875310052186
16,1000,1.2442650313414598,1.0512865419732407,2.2893647780292667
17,1000,1.3857613611157735,1.0557788309524767,1.5108035279554315
18,1000,1.2944864486056127,1.0500371239613742,1.8321171939605847
19,1000,1.3705553030804258,1.0467560759861954,1.8282724560122006
20,1000,1.390102869956795,1.0596697150031105,2.273498650989495
21,1000,1.3386275656192872,1.0515172010054812,1.8882744770380668
1,1500,1.2687703045016658,1.0283532490138896,2.534672280016821
2,1500,1.2332640080407593,1.025344389025122,2.958437354012858
3,1500,1.296026711788528,1.0256436240160838,2.1972991619841196
4,1500,1.2777901227280455,1.0284533220110461,2.1121810890035704
5,1500,1.140266409070685,1.0268689549993724,2.7773984930245206
6,1500,1.2468838786173635,1.0261758440174162,3.065964779991191
7,1500,1.2224560913895774,1.0269035180099308,3.239400739024859
8,1500,1.2067888981520485,1.027396581019275,1.886529701994732
9,1500,1.2337682323160464,1.0256329330150038,1.9888874450116418
10,1500,1.1958075932871453,1.024699433997739,2.7356036519631743
11,1500,1.156966703682447,1.0240637009846978,1.666620449977927
12,1500,1.1952311769403885,1.02872921602102,2.493697070982307
13,1500,1.232503187132983,1.0190911529934965,1.792007180978544
14,1500,1.2175854243172488,1.0196201489889063,2.0111608470324427
15,1500,1.2489728825683795,1.0185263970051892,1.7943304639775306
16,1500,1.2226352223130617,1.0208173739956692,3.0861106169759296
17,1500,1.2869331517493503,1.0348952469648793,2.135127387009561
18,1500,1.2613706552798276,1.0324784950353205,2.8074742690077983
19,1500,1.2612207474041799,1.0343899669824168,1.5483389449655078
20,1500,1.1765743761188803,1.0237928270362318,2.898682444996666
21,1500,1.217380100724099,1.0294846469769254,1.7148935219738632
1,2000,1.1586371470123942,1.057150275039021,2.7413673260016367
2,2000,1.1901682939906224,1.065260916016996,2.1311577089945786
3,2000,1.1496779373393784,1.062836378987413,2.425449585018214
4,2000,1.1861818808911582,1.0594733580364846,3.3448402830399573
5,2000,1.1659228058769548,1.058879046002403,2.071122416004073
6,2000,1.1384652188101583,1.0656954490114003,1.6700540210003965
7,2000,1.1864599530679558,1.0569547489867546,2.4148823330178857
8,2000,1.1360831299760454,1.0609986110357568,2.594467079034075
9,2000,1.1553944868403834,1.0575028599705547,1.739992026006803
10,2000,1.170374558511966,1.060855754010845,2.77375613397453
11,2000,1.1703432031712744,1.0666466599795967,1.8716448500053957
12,2000,1.1165530044628407,1.0592958579654805,1.923556344001554
13,2000,1.1322822119414564,1.0606171819963492,1.6884124180069193
14,2000,1.1532189264946249,1.0596503390115686,2.0523246750235558
15,2000,1.1668124371917656,1.062618987984024,2.2146882460219786
16,2000,1.1819406640173145,1.0571144370478578,2.4174459380446933
17,2000,1.1930503651276736,1.0605658490094356,1.452414040977601
18,2000,1.1728382247983034,1.0528322929749265,2.4397848079679534
19,2000,1.2038379035962694,1.059938915015664,3.5144051340175793
20,2000,1.1552497336201277,1.06155977898743,2.7150161240133457
21,2000,1.2113933643881032,1.0642677869764157,2.8001200369908474
1,2500,1.1711678661042493,1.0496407899772748,5.255243088002317
2,2500,1.1268311345204052,1.0452431699959561,2.212765624979511
3,2500,1.0990457922520342,1.0445913639850914,2.271838835964445
4,2500,1.1005608758913588,1.0470281669986434,2.8293177129817195
5,2500,1.0948215517943591,1.045712906983681,2.060361424984876
6,2500,1.148201262711457,1.0457114210003056,3.328016032988671
7,2500,1.1420006940777154,1.0546486180392094,3.5961911150370724
8,2500,1.1134254991186923,1.043077289010398,2.1276880490477197
9,2500,1.1238644403054754,1.0421380390180275,2.637970457028132
10,2500,1.110515649755104,1.0445726789766923,2.764533520967234
11,2500,1.1531107736943187,1.0464025149703957,2.1548841589828953
12,2500,1.106967466311306,1.0434585550101474,3.1256927190115675
13,2500,1.1091089096601874,1.0422818990191445,1.9886085109901614
14,2500,1.120719680552434,1.0432262489921413,1.6746804769500159
15,2500,1.1321066708015795,1.0452475739875808,2.8089311569929123
16,2500,1.0869658258066774,1.0547850049915724,1.8916517189936712
17,2500,1.136101190853855,1.0448954809689894,3.6288405879749916
18,2500,1.1237237842647865,1.0421291699749418,3.3940755689982325
19,2500,1.196808165465906,1.043294621980749,3.9380383999668993
20,2500,1.105099884066126,1.0414488419773988,3.3670102219912224
